"","Value","Std.Error","DF","t.value","pval","scfa_var","Var","Strain","adj.pval"
"1",1.28008637611274,6.14302768483615,133,0.208380369060127,0.835250763245019,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Bilophila.wadsworthia",0.945566901786814
"2",-2.46410965281182,10.1077118633078,133,-0.243785110432049,0.807772893337089,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Proteus.mirabilis",0.945566901786814
"3",17.1661815080308,1.63758235280747,133,10.4826370891217,4.11646035908089e-19,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Escherichia.coli",1.23493810772427e-16
"4",30.1297801637116,26.5079358632155,133,1.13663245298258,0.257735765974788,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Citrobacter.farmeri",0.581358870619823
"5",-5.16193104992843,4.96773431922752,133,-1.03909160961956,0.300647478629932,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","X.Clostridium..aldenense",0.594793740122401
"6",-0.0723639940952645,4.66491797966328,133,-0.0155123829423659,0.987646651452691,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","X.Clostridium..clostridioforme",0.990949817511062
"7",8.32014178799145,9.55974303756791,133,0.870331111965555,0.385687606841738,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Morganella.morganii",0.688727869360246
"8",20.5640518630967,4.946112942642,133,4.15761874052804,5.72696201254697e-05,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Fusobacterium.nucleatum",0.00859044301882046
"9",-1.1808985665968,6.90211441148542,133,-0.171092290882883,0.864411220727853,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Citrobacter.amalonaticus",0.953394728743956
"10",-9.64060723666277,7.77148171021752,133,-1.2405108312856,0.216970401717957,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","X.Clostridium..bolteae",0.55494584688878
"11",8.9205388032732,5.28349116984911,133,1.68837961804107,0.09368178834542,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Veillonella.parvula",0.436684103442936
"12",8.9342691110558,5.51121043010296,133,1.62110832536091,0.107362837077444,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Lachnospiraceae.bacterium.CAG.364",0.438099076097363
"13",23.2172531588017,17.780998649872,133,1.30573392507225,0.19389709055057,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Enterococcus.casseliflavus",0.547224083127544
"14",-4.12740917091673,7.14616054850817,133,-0.577570171128939,0.564530844344623,"tr|A0A3P6LME2|A0A3P6LME2_SHIDY","St_Abundance","Flavonifractor.plautii",0.802650489589511
